contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME142330_1,GUT_GENOME142330_00116,82017,0.2418530994491076,0.2836442670313709,0.28152897839768365,0.0068711985276727165,0.9364480768831923,0.2605063163219544,0.0011084099707608579,-0.04179116758226331,-0.8962270802678792,0.021022662075729226,0.05878065824140726,0.8066781451887807,0.6680855314198345,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82018,0.2519488597436224,0.2929209181621115,0.2908090789227798,0.007265375879254417,0.9190294520866868,0.2611940898093178,2.2890666964836817e-05,-0.04097205841848911,-0.8800514075637265,0.029614989113461998,0.11441730331837363,0.7875817992535449,0.674495078668699,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82031,0.24821976702764564,0.29902205037717855,0.2964851033770448,0.007501015140043277,0.9563198017927981,0.2617314434782936,1.8003323195233664e-06,-0.050802283349532906,-1.0741775486510712,0.03475365989875123,0.14769099057364274,1.1756700347226483,0.5555286937276425,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82148,0.24072831893337757,0.2967664604352196,0.2940475829078293,0.007501153195433031,0.970378542732205,0.26162656460530054,7.726228727045862e-06,-0.056038141501842026,-1.1775746677931416,0.03242101830252875,0.1325867758468435,1.404261351357589,0.4955283679557686,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82154,0.2351956922001812,0.30602945704960943,0.30232119465496143,0.007777344695866974,0.9910449204659674,0.2624954086342613,1.5216681482942178e-07,-0.07083376484942824,-1.469756920548955,0.03982578602070014,0.180533790852686,2.192777855141188,0.33407527819920735,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82173,0.24478480868233907,0.30860420599108607,0.3050321163732109,0.008140851186727464,0.9820438238180709,0.2624379330810905,8.37732472398116e-08,-0.063819397308747,-1.3312380044109704,0.04259418329212045,0.19845959090029403,1.811580833608415,0.40422225473627504,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82229,0.25274106974921423,0.3457073451997758,0.34094782253922884,0.00896653907628829,0.9981909798402702,0.26241466275857883,9.89595550385746e-19,-0.09296627545056158,-1.906827171302266,0.07853315978065001,0.4311700162066107,3.82189744409221,0.1479399660886513,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82276,0.2454354111655563,0.31571381976589274,0.3143974017223116,0.009244934352188856,0.9907275875312298,0.2634856895604162,1.825159712364669e-08,-0.07027840860033643,-1.458789809793994,0.05091171216189544,0.2523168753836369,2.191731514762159,0.3342501021531679,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82355,0.2547370287691541,0.3410568418207913,0.3362048536589887,0.008839906815941328,0.9964009615461592,0.26401440070587573,1.588288488197596e-16,-0.08631981305163722,-1.7755736032063099,0.072190452953113,0.3901000095551829,3.304839637857992,0.19158574443969112,False
GUT_GENOME142330_1,GUT_GENOME142330_00116,82388,0.257458805333966,0.3546020406792924,0.3490020538878136,0.009169460809128683,0.9981480803629705,0.2644015265762662,1.4002369917359068e-20,-0.09714323534532643,-1.9893132905452369,0.08460052731154738,0.470457158372596,4.178697305803936,0.12376772531745274,False
